manuscript_item,metric,context,displayed_value,full_precision_value,source_file,source_section,uncertainty_source,reproduction_script,reproduction_level,tolerance,draws,sampling_unit,strata,percentile
Figure 2,M,mlp; checkpoint=50000; layer=gelu1_post,graphical/supplemental value; full precision supplied,0.9828188469938691,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/50000/gelu1_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,mlp; checkpoint=50000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.5913844663413321,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/50000/gelu2_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,P,mlp; checkpoint=50000,graphical/supplemental value; full precision supplied,0.05061155262487953,frozen/figure2_longitudinal/05b_cohort_output_metrics_CI95.csv,mlp/50000,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,A,mlp; checkpoint=50000,graphical/supplemental value; full precision supplied,0.6017227570983091,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/A_by_checkpoint/3,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,mlp; checkpoint=100000; layer=gelu1_post,graphical/supplemental value; full precision supplied,0.9924965449721439,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/100000/gelu1_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,mlp; checkpoint=100000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.4072377349199126,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/100000/gelu2_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,P,mlp; checkpoint=100000,graphical/supplemental value; full precision supplied,0.045202595614559624,frozen/figure2_longitudinal/05b_cohort_output_metrics_CI95.csv,mlp/100000,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,A,mlp; checkpoint=100000,graphical/supplemental value; full precision supplied,0.4103165265238706,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/A_by_checkpoint/4,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,mlp; checkpoint=200000; layer=gelu1_post,graphical/supplemental value; full precision supplied,1.001372576171533,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/200000/gelu1_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,mlp; checkpoint=200000; layer=gelu2_post,graphical/supplemental value; full precision supplied,0.29939539767817563,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,mlp/200000/gelu2_post,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,P,mlp; checkpoint=200000,graphical/supplemental value; full precision supplied,0.03546266988886955,frozen/figure2_longitudinal/05b_cohort_output_metrics_CI95.csv,mlp/200000,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,A,mlp; checkpoint=200000,"0.2990 [0.2818, 0.3158]",0.29898501796686894,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/A_by_checkpoint/5,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,seed_A200k,mlp; seed=701; checkpoint=200000,graphical/supplemental value; full precision supplied,0.2731417328463971,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/seed_A200k/0,not applicable,scripts/reproduce_figure2.py,2,1e-10,0,individual cached seed,not applicable,not applicable
Figure 2,seed_A200k,mlp; seed=702; checkpoint=200000,graphical/supplemental value; full precision supplied,0.31989822533237783,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/seed_A200k/1,not applicable,scripts/reproduce_figure2.py,2,1e-10,0,individual cached seed,not applicable,not applicable
Figure 2,seed_A200k,mlp; seed=703; checkpoint=200000,graphical/supplemental value; full precision supplied,0.28307706502003277,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/seed_A200k/2,not applicable,scripts/reproduce_figure2.py,2,1e-10,0,individual cached seed,not applicable,not applicable
Figure 2,seed_A200k,mlp; seed=704; checkpoint=200000,graphical/supplemental value; full precision supplied,0.29734913373631594,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/seed_A200k/3,not applicable,scripts/reproduce_figure2.py,2,1e-10,0,individual cached seed,not applicable,not applicable
Figure 2,seed_A200k,mlp; seed=705; checkpoint=200000,graphical/supplemental value; full precision supplied,0.3215575494066825,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/seed_A200k/4,not applicable,scripts/reproduce_figure2.py,2,1e-10,0,individual cached seed,not applicable,not applicable
Figure 2,T_A,mlp; checkpoint=200000/5000,"0.2966 [0.2761, 0.3178]",0.2965614782763924,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/T_A,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,R_P,mlp; checkpoint=200000/5000,"0.3990 [0.3672, 0.4334]",0.39903369557710927,frozen/figure2_longitudinal/06_primary_estimands.json,mlp/R_P,frozen/figure2_longitudinal/mlp_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=5000; layer=projected_query,graphical/supplemental value; full precision supplied,0.8096277168883315,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/5000/projected_query,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=5000; layer=block1_return,graphical/supplemental value; full precision supplied,0.5542387202105029,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/5000/block1_return,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=5000; layer=block2_return,graphical/supplemental value; full precision supplied,0.4381027928160436,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/5000/block2_return,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=5000; layer=final_layernorm,graphical/supplemental value; full precision supplied,0.44944177719229705,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/5000/final_layernorm,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,P,transformer; checkpoint=5000,graphical/supplemental value; full precision supplied,0.0885752991146652,frozen/figure2_longitudinal/05b_cohort_output_metrics_CI95.csv,transformer/5000,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,A,transformer; checkpoint=5000,graphical/supplemental value; full precision supplied,0.810917319204253,frozen/figure2_longitudinal/06_primary_estimands.json,transformer/A_by_checkpoint/0,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=10000; layer=projected_query,graphical/supplemental value; full precision supplied,0.8237683837679409,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/10000/projected_query,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=10000; layer=block1_return,graphical/supplemental value; full precision supplied,0.5387753866863167,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/10000/block1_return,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=10000; layer=block2_return,graphical/supplemental value; full precision supplied,0.41334991612797956,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/10000/block2_return,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=10000; layer=final_layernorm,graphical/supplemental value; full precision supplied,0.42113894342041236,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/10000/final_layernorm,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,P,transformer; checkpoint=10000,graphical/supplemental value; full precision supplied,0.07996818916703734,frozen/figure2_longitudinal/05b_cohort_output_metrics_CI95.csv,transformer/10000,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,A,transformer; checkpoint=10000,graphical/supplemental value; full precision supplied,0.7816595817611206,frozen/figure2_longitudinal/06_primary_estimands.json,transformer/A_by_checkpoint/1,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=20000; layer=projected_query,graphical/supplemental value; full precision supplied,0.8329513290256818,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/20000/projected_query,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=20000; layer=block1_return,graphical/supplemental value; full precision supplied,0.5344424581488124,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/20000/block1_return,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=20000; layer=block2_return,graphical/supplemental value; full precision supplied,0.3940293270757041,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/20000/block2_return,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=20000; layer=final_layernorm,graphical/supplemental value; full precision supplied,0.3956137957716293,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/20000/final_layernorm,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,P,transformer; checkpoint=20000,graphical/supplemental value; full precision supplied,0.07467907991380099,frozen/figure2_longitudinal/05b_cohort_output_metrics_CI95.csv,transformer/20000,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,A,transformer; checkpoint=20000,graphical/supplemental value; full precision supplied,0.740236464636335,frozen/figure2_longitudinal/06_primary_estimands.json,transformer/A_by_checkpoint/2,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=50000; layer=projected_query,graphical/supplemental value; full precision supplied,0.8359790835906249,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/50000/projected_query,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=50000; layer=block1_return,graphical/supplemental value; full precision supplied,0.5449528594926378,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/50000/block1_return,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=50000; layer=block2_return,graphical/supplemental value; full precision supplied,0.3720016856356426,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/50000/block2_return,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=50000; layer=final_layernorm,graphical/supplemental value; full precision supplied,0.32815991208051043,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/50000/final_layernorm,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,P,transformer; checkpoint=50000,graphical/supplemental value; full precision supplied,0.05707779996943604,frozen/figure2_longitudinal/05b_cohort_output_metrics_CI95.csv,transformer/50000,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,A,transformer; checkpoint=50000,graphical/supplemental value; full precision supplied,0.6021803654467177,frozen/figure2_longitudinal/06_primary_estimands.json,transformer/A_by_checkpoint/3,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
Figure 2,M,transformer; checkpoint=100000; layer=projected_query,graphical/supplemental value; full precision supplied,0.8327368818351534,frozen/figure2_longitudinal/04b_cohort_layer_metrics_CI95.csv,transformer/100000/projected_query,frozen/figure2_longitudinal/transformer_saved_statistics.npz,scripts/reproduce_figure2.py,3,1e-10,2000,"Hierarchical seed+base bootstrap: resample five seeds and bases within each existing feature/sign stratum, independently per architecture","Original feature/sign panel strata; base weights shared across seeds, layers and checkpoints within an architecture","NumPy quantile [0.025,0.975], method=linear"
